Name,City,State,Total Patients,Mortality %,Complication %,Start Date,End Date
Gordon Hospital,Calhoun,Georgia,,,,,
Spalding Regional Hospital,Griffin,Georgia,,,,,
Piedmont Newton Hospital,Covington,Georgia,,,,,
Liberty Regional Medical Center,Hinesville,Georgia,,,,,
Colquitt Regional Medical Center,Moultrie,Georgia,,,,,
Redmond Regional Medical Center,Rome,Georgia,,,,,
Coliseum Medical Centers,Macon,Georgia,,,,,
St. Joseph's Hospital,Savannah,Georgia,,,,,
South Georgia Medical Center,Valdosta,Georgia,,,,,
Coliseum Northside Hospital,Macon,Georgia,,,,,
Rockdale Medical Center,Conyers,Georgia,,,,,
Morgan Memorial Hospital,Madison,Georgia,,,,,
Hamilton Medical Center,Dalton,Georgia,,,,,
St. Francis Hospital,Columbus,Georgia,28,98,87,July 2011,June 2014
Northridge Medical Center,Commerce,Georgia,,,,,
University Hospital McDuffie,Thomson,Georgia,,,,,
Jeff Davis Hospital,Hazlehurst,Georgia,,,,,
Evans Memorial Hospital,Claxton,Georgia,,,,,
Chestatee Regional Hospital,Dahlonega,Georgia,,,,,
Stephens County Hospital,Toccoa,Georgia,,,,,
Piedmont Mountainside Hospital,Jasper,Georgia,,,,,
John D. Archbold Memorial Hospital,Thomasville,Georgia,,,,,
Putnam General Hospital,Eatonton,Georgia,,,,,
Southeast Georgia Health System Camden Campus,Saint Marys,Georgia,,,,,
Habersham Medical Center,Demorest,Georgia,,,,,
Phoebe Worth Medical Center,Sylvester,Georgia,,,,,
"Medical Center, Navicent Health",Macon,Georgia,,,,,
Dorminy Medical Center,Fitzgerald,Georgia,,,,,
Emory University Hospital Midtown,Atlanta,Georgia,,,,,
Elbert Memorial Hospital,Elberton,Georgia,,,,,
Northside Hospital,Atlanta,Georgia,,,,,
Clearview Regional Medical Center,Monroe,Georgia,,,,,
Houston Medical Center,Warner Robins,Georgia,,,,,
Piedmont Fayette Hospital,Fayetteville,Georgia,,,,,
Georgia Regents Medical Center,Augusta,Georgia,,,,,
Sylvan Grove Hospital,Jackson,Georgia,,,,,
Southern Regional Medical Center,Riverdale,Georgia,,,,,
Irwin County Hospital,Ocilla,Georgia,,,,,
WellStar Cobb Hospital,Austell,Georgia,,,,,
Effingham Hospital,Springfield,Georgia,,,,,
Bacon County Hospital and Health System,Alma,Georgia,,,,,
Clinch Memorial Hospital,Homerville,Georgia,,,,,
Upson Regional Medical Center,Thomaston,Georgia,,,,,
Tanner Medical Center-Carrollton,Carrollton,Georgia,,,,,
East Georgia Regional Medical Center,Statesboro,Georgia,,,,,
Eastside Medical Center,Snellville,Georgia,,,,,
Mountain Lakes Medical Center,Clayton,Georgia,,,,,
Piedmont Henry Hospital,Stockbridge,Georgia,,,,,
St. Mary's Sacred Heart Hospital,Lavonia,Georgia,,,,,
Warm Springs Medical Center,Warm Springs,Georgia,,,,,
Candler County Hospital,Metter,Georgia,,,,,
South Georgia Medical Center Berrien Campus,Nashville,Georgia,,,,,
Chatuge Regional Hospital and Nursing Home,Hiawassee,Georgia,,,,,
Oconee Regional Medical Center,Milledgeville,Georgia,,,,,
Turning Point Hospital,Moultrie,Georgia,,,,,
Fairview Park Hospital,Dublin,Georgia,,,,,
Brooks County Hospital,Quitman,Georgia,,,,,
Coffee Regional Medical Center,Douglas,Georgia,,,,,
Jasper Memorial Hospital,Monticello,Georgia,,,,,
Murray Medical Center,Chatsworth,Georgia,,,,,
University Hospital,Augusta,Georgia,,,,,
Midtown Medical Center,Columbus,Georgia,,,,,
Jefferson Hospital,Louisville,Georgia,,,,,
Wills Memorial Hospital,Washington,Georgia,,,,,
Cook Medical Center-A Campus of Tift Regional Medical Center,Adel,Georgia,,,,,
Taylor Regional Hospital,Hawkinsville,Georgia,,,,,
Appling Healthcare System,Baxley,Georgia,,,,,
Polk Medical Center,Cedartown,Georgia,,,,,
Southwest Georgia Regional Medical Center,Cuthbert,Georgia,,,,,
Grady Memorial Hospital,Atlanta,Georgia,,,,,
Emory University Hospital,Atlanta,Georgia,,,,,
Perry Hospital,Perry,Georgia,,,,,
Southeastern Regional Medical Center,Newnan,Georgia,,,,,
Athens Regional Medical Center,Athens,Georgia,70,97,87,July 2011,June 2014
Monroe County Hospital,Forsyth,Georgia,,,,,
Phoebe Sumter Medical Center,Americus,Georgia,,,,,
Floyd Medical Center,Rome,Georgia,,,,,
Fannin Regional Hospital,Blue Ridge,Georgia,,,,,
Tanner Medical Center-Villa Rica,Villa Rica,Georgia,,,,,
Wayne Memorial Hospital,Jesup,Georgia,,,,,
Pioneer Community Hospital of Early,Blakely,Georgia,,,,,
Higgins General Hospital,Bremen,Georgia,,,,,
North Fulton Regional Hospital,Roswell,Georgia,,,,,
Northside Medical Center,Columbus,Georgia,,,,,
Burke Medical Center,Waynesboro,Georgia,,,,,
St. Mary's Health Care System,Athens,Georgia,,,,,
Northeast Georgia Medical Center,Gainesville,Georgia,,,,,
Memorial Health,Savannah,Georgia,,,,,
Emory Saint Joseph's Hospital of Atlanta,Atlanta,Georgia,,,,,
Trinity Hospital of Augusta,Augusta,Georgia,,,,,
Memorial Hospital and Manor,Bainbridge,Georgia,,,,,
WellStar Douglas Hospital,Douglasville,Georgia,,,,,
St. Mary's Good Samaritan Hospital,Greensboro,Georgia,,,,,
Emory Johns Creek Hospital,Johns Creek,Georgia,,,,,
Union General Hospital,Blairsville,Georgia,,,,,
Washington County Regional Medical Center,Sandersville,Georgia,,,,,
Crisp Regional Hospital,Cordele,Georgia,,,,,
Meadows Regional Medical Center,Vidalia,Georgia,,,,,
Dodge County Hospital,Eastman,Georgia,,,,,
Atlanta Medical Center,Atlanta,Georgia,,,,,
North Georgia Medical Center,Ellijay,Georgia,,,,,
DeKalb Medical at Hillandale,Lithonia,Georgia,,,,,
"Medical Center of Peach County, Navicent Health",Bryon,Georgia,,,,,
Phoebe Putney Memorial Hospital,Albany,Georgia,,,,,
WellStar Kennestone Hospital,Marietta,Georgia,127,98,82,July 2011,June 2014
Grady General Hospital,Cairo,Georgia,,,,,
Barrow Regional Medical Center,Winder,Georgia,,,,,
Gwinnett Hospital System,Lawrenceville,Georgia,,,,,
Miller County Hospital,Colquitt,Georgia,,,,,
Donalsonville Hospital,Donalsonville,Georgia,,,,,
Piedmont Hospital,Atlanta,Georgia,,,,,
Candler Hospital,Savannah,Georgia,,,,,
West Georgia Health,La Grange,Georgia,,,,,
Emanuel Medical Center,Swainsboro,Georgia,,,,,
Doctors Hospital,Augusta,Georgia,,,,,
Mitchell County Hospital,Camilla,Georgia,,,,,
South Georgia Medical Center Lanier Campus,Lakeland,Georgia,,,,,
Flint River Community Hospital,Montezuma,Georgia,,,,,
Mayo Clinic Health System in Waycross,Waycross,Georgia,,,,,
Southeast Georgia Health System Brunswick Campus,Brunswick,Georgia,,,,,
Cartersville Medical Center,Cartersville,Georgia,,,,,
Tift Regional Medical Center,Tifton,Georgia,,,,,
Northside Hospital-Cherokee,Canton,Georgia,,,,,
Merit Health River Oaks,Flowood,Mississippi,,,,,
Jefferson County Hospital,Fayette,Mississippi,,,,,
South Sunflower County Hospital,Indianola,Mississippi,,,,,
Delta Regional Medical Center,Greenville,Mississippi,,,,,
Beacham Memorial Hospital,Magnolia,Mississippi,,,,,
Merit Health Central,Jackson,Mississippi,,,,,
Memorial Hospital at Gulfport,Gulfport,Mississippi,,,,,
St. Dominic-Jackson Memorial Hospital,Jackson,Mississippi,,,,,
Singing River Health System,Pascagoula,Mississippi,,,,,
Tallahatchie General Hospital,Charleston,Mississippi,,,,,
Baptist Medical Center Attala,Kosciusko,Mississippi,,,,,
Pioneer Community Hospital of Newton,Newton,Mississippi,,,,,
Walthall County General Hospital,Tylertown,Mississippi,,,,,
Merit Health Biloxi,Biloxi,Mississippi,,,,,
Anderson Regional Medical Center-South Campus,Meridian,Mississippi,,,,,
Neshoba County General Hospital,Philadelphia,Mississippi,,,,,
Baptist Medical Center Leake,Carthage,Mississippi,,,,,
North Mississippi Medical Center - Tupelo,Tupelo,Mississippi,97,98,90,July 2011,June 2014
Baptist Memorial Hospital-Union County,New Albany,Mississippi,,,,,
OCH Regional Medical Center,Starkville,Mississippi,,,,,
King's Daughters Medical Center,Brookhaven,Mississippi,,,,,
Magnolia Regional Health Center,Corinth,Mississippi,,,,,
Claiborne County Medical Center,Port Gibson,Mississippi,,,,,
Merit Health Rankin,Brandon,Mississippi,,,,,
Bolivar Medical Center,Cleveland,Mississippi,,,,,
Perry County General Hospital,Richton,Mississippi,,,,,
Baptist Memorial Hospital-Desoto,Southaven,Mississippi,,,,,
Rush Foundation Hospital,Meridian,Mississippi,,,,,
Field Memorial Community Hospital,Centreville,Mississippi,,,,,
Alliance Health Center,Meridian,Mississippi,,,,,
Alliance HealthCare System,Holly Springs,Mississippi,,,,,
Tyler Holmes Memorial Hospital,Winona,Mississippi,,,,,
Hancock Medical Center,Bay Saint Louis,Mississippi,,,,,
Merit Health Northwest Mississippi,Clarksdale,Mississippi,,,,,
Pioneer Community Hospital of Aberdeen,Aberdeen,Mississippi,,,,,
Merit Health Batesville,Batesville,Mississippi,,,,,
North Mississippi Medical Center-Eupora,Eupora,Mississippi,,,,,
Hardy Wilson Memorial Hospital,Hazlehurst,Mississippi,,,,,
H. C. Watkins Memorial Hospital,Quitman,Mississippi,,,,,
Pearl River County Hospital,Poplarville,Mississippi,,,,,
Trace Regional Hospital,Houston,Mississippi,,,,,
Simpson General Hospital,Mendenhall,Mississippi,,,,,
Calhoun Health Services,Calhoun City,Mississippi,,,,,
Baptist Memorial Hospital-North Mississippi,Oxford,Mississippi,,,,,
Tippah County Hospital,Ripley,Mississippi,,,,,
Merit Health Gilmore Memorial,Amory,Mississippi,,,,,
Merit Health Madison,Canton,Mississippi,,,,,
Marion General Hospital,Columbia,Mississippi,,,,,
University of Mississippi Medical Center,Jackson,Mississippi,42,98,87,July 2011,June 2014
University of Mississippi Medical Center Holmes County,Lexington,Mississippi,,,,,
Lackey Memorial Hospital,Forest,Mississippi,,,,,
Jefferson Davis Community Hospital,Prentiss,Mississippi,,,,,
North Oak Regional Medical Center,Senatobia,Mississippi,,,,,
Winston Medical Center,Louisville,Mississippi,,,,,
Highland Community Hospital,Picayune,Mississippi,,,,,
Wayne General Hospital,Waynesboro,Mississippi,,,,,
Franklin County Memorial Hospital,Meadville,Mississippi,,,,,
Covington County Hospital,Collins,Mississippi,,,,,
Baptist Memorial Hospital-Booneville,Booneville,Mississippi,,,,,
North Mississippi Medical Center-Iuka,Iuka,Mississippi,,,,,
Laird Hospital,Union,Mississippi,,,,,
Baptist Memorial Hospital-Golden Triangle,Columbus,Mississippi,,,,,
Merit Health Natchez,Natchez,Mississippi,,,,,
Merit Health Wesley,Hattiesburg,Mississippi,,,,,
John C. Stennis Memorial Hospital,De Kalb,Mississippi,,,,,
Stone County Hospital,Wiggins,Mississippi,,,,,
Choctaw Regional Medical Center,Ackerman,Mississippi,,,,,
Merit Health Woman's Hospital,Flowood,Mississippi,,,,,
University of Mississippi Medical Center Grenada,Grenada,Mississippi,,,,,
Southwest Mississippi Regional Medical Center,McComb,Mississippi,,,,,
North Sunflower Medical Center,Ruleville,Mississippi,,,,,
Anderson Regional Medical Center,Meridian,Mississippi,,,,,
Sharkey-Issaquena Community Hospital,Rolling Fork,Mississippi,,,,,
North Mississippi Medical Center-Pontotoc,Pontotoc,Mississippi,,,,,
Merit Health River Region,Vicksburg,Mississippi,,,,,
Garden Park Medical Center,Gulfport,Mississippi,,,,,
Scott Regional Hospital,Morton,Mississippi,,,,,
Lawrence County Hospital,Monticello,Mississippi,,,,,
Magee General Hospital,Magee,Mississippi,,,,,
South Central Regional Medical Center,Laurel,Mississippi,,,,,
Baptist Medical Center Yazoo,Yazoo City,Mississippi,,,,,
Mississippi Baptist Medical Center,Jackson,Mississippi,110,96,86,July 2011,June 2014
Natchez Community Hospital,Natchez,Mississippi,,,,,
George Regional Hospital,Lucedale,Mississippi,,,,,
North Mississippi Medical Center-West Point,West Point,Mississippi,,,,,
Yalobusha General Hospital,Water Valley,Mississippi,,,,,
Methodist Olive Branch Hospital,Olive Branch,Mississippi,,,,,
Forrest General Hospital,Hattiesburg,Mississippi,,,,,
Greenwood Leflore Hospital,Greenwood,Mississippi,,,,,
Good Samaritan Regional Medical Center,Corvallis,Oregon,,,,,
OHSU Hospital,Portland,Oregon,157,97,87,July 2011,June 2014
Samaritan North Lincoln Hospital,Lincoln City,Oregon,,,,,
Grande Ronde Hospital,La Grande,Oregon,,,,,
Legacy Meridian Park Medical Center,Tualatin,Oregon,,,,,
Asante Three Rivers Medical Center,Grants Pass,Oregon,,,,,
Providence Newberg Medical Center,Newberg,Oregon,,,,,
Tuality Healthcare,Hillsboro,Oregon,16,97,86,July 2011,June 2014
Asante Rogue Regional Medical Center,Medford,Oregon,186,97,89,July 2011,June 2014
CHI St. Anthony Hospital,Pendleton,Oregon,,,,,
Sky Lakes Medical Center,Klamath Falls,Oregon,,,,,
St. Charles Bend,Bend,Oregon,,,,,
Legacy Mount Hood Medical Center,Gresham,Oregon,,,,,
PeaceHealth Cottage Grove Community Medical Center,Cottage Grove,Oregon,,,,,
Legacy Good Samaritan Hospital and Medical Center,Portland,Oregon,110,98,87,July 2011,June 2014
Salem Hospital,Salem,Oregon,,,,,
Harney District Hospital,Burns,Oregon,,,,,
Asante Ashland Community Hospital,Ashland,Oregon,,,,,
Samaritan Albany General Hospital,Albany,Oregon,,,,,
Lake District Hospital,Lakeview,Oregon,,,,,
West Valley Hospital,Dallas,Oregon,,,,,
Providence Portland Medical Center,Portland,Oregon,140,98,86,July 2011,June 2014
Blue Mountain Hospital,John Day,Oregon,,,,,
Saint Alphonsus Medical Center - Baker City,Baker City,Oregon,,,,,
Providence Medford Medical Center,Medford,Oregon,,,,,
Providence St. Vincent Medical Center,Portland,Oregon,299,97,86,July 2011,June 2014
Pioneer Memorial Hospital,Prineville,Oregon,,,,,
Coquille Valley Hospital,Coquille,Oregon,,,,,
Providence Milwaukie Hospital,Milwaukie,Oregon,,,,,
Saint Alphonsus Medical Center - Ontario,Ontario,Oregon,,,,,
Mercy Medical Center,Roseburg,Oregon,,,,,
PeaceHealth Sacred Heart Medical Center University District,Eugene,Oregon,,,,,
St. Charles Redmond,Redmond,Oregon,,,,,
Legacy Emanuel Hospital and Health Center,Portland,Oregon,26,97,86,July 2011,June 2014
Providence Willamette Falls Medical Center,Oregon City,Oregon,,,,,
Southern Coos Hospital and Health Center,Bandon,Oregon,,,,,
St. Charles Madras,Madras,Oregon,,,,,
PeaceHealth Peace Harbor Medical Center,Florence,Oregon,,,,,
Good Shepherd Health Care System,Hermiston,Oregon,,,,,
Wallowa Memorial Hospital,Enterprise,Oregon,,,,,
Bay Area Hospital,Coos Bay,Oregon,,,,,
Lower Umpqua Hospital District,Reedsport,Oregon,,,,,
Columbia Memorial Hospital,Astoria,Oregon,,,,,
Tillamook Regional Medical Center,Tillamook,Oregon,,,,,
Curry General Hospital,Gold Beach,Oregon,,,,,
Mid-Columbia Medical Center,The Dalles,Oregon,,,,,
Providence Hood River Memorial Hospital,Hood River,Oregon,,,,,
Kaiser Permanente Sunnyside Medical Center,Clackamas,Oregon,195,98,91,July 2011,June 2014
Samaritan Pacific Communities Hospital,Newport,Oregon,,,,,
PeaceHealth Sacred Heart Medical Center at RiverBend,Springfield,Oregon,,,,,
McKenzie-Willamette Medical Center,Springfield,Oregon,34,97,84,July 2011,June 2014
Willamette Valley Medical Center,McMinnville,Oregon,,,,,
Samaritan Lebanon Community Hospital,Lebanon,Oregon,,,,,
Kaiser Foundation Hospital Westside Medical Center,Hillsboro,Oregon,,,,,
Providence Seaside Hospital,Seaside,Oregon,,,,,
Silverton Hospital,Silverton,Oregon,,,,,
Santiam Memorial Hospital,Stayton,Oregon,,,,,
Adventist Medical Center-Portland,Portland,Oregon,,,,,
Excela Latrobe Area Hospital,Latrobe,Pennsylvania,,,,,
Pinnacle Health System,Harrisburg,Pennsylvania,300,99,90,July 2011,June 2014
Corry Memorial Hospital,Corry,Pennsylvania,,,,,
Aria Health,Philadelphia,Pennsylvania,,,,,
Ellwood City Hospital,Ellwood City,Pennsylvania,,,,,
Temple University Hospital,Philadelphia,Pennsylvania,38,98,90,July 2011,June 2014
Chestnut Hill Hospital,Philadelphia,Pennsylvania,,,,,
Heritage Valley Health System,Beaver,Pennsylvania,84,98,81,July 2011,June 2014
Easton Hospital,Easton,Pennsylvania,,,,,
UPMC Passavant,Pittsburgh,Pennsylvania,,,,,
Phoenixville Hospital,Phoenixville,Pennsylvania,26,97,84,July 2011,June 2014
Ohio Valley Hospital,McKees Rocks,Pennsylvania,,,,,
St. Luke's Hospital - Quakertown Campus,Quakertown,Pennsylvania,,,,,
Soldiers and Sailors Memorial Hospital,Wellsboro,Pennsylvania,,,,,
Penn Highlands Elk,Saint Marys,Pennsylvania,,,,,
St. Luke's Hospital - Miners Campus,Coaldale,Pennsylvania,,,,,
Geisinger-Community Medical Center,Scranton,Pennsylvania,61,98,90,July 2011,June 2014
Penn Highlands DuBois,Du Bois,Pennsylvania,,,,,
Windber Medical Center,Windber,Pennsylvania,,,,,
Nason Hospital,Roaring Spring,Pennsylvania,,,,,
Lower Bucks Hospital,Bristol,Pennsylvania,,,,,
St. Mary Medical Center,Langhorne,Pennsylvania,66,98,88,July 2011,June 2014
Conemaugh Memorial Medical Center,Johnstown,Pennsylvania,,,,,
Chambersburg Hospital,Chambersburg,Pennsylvania,,,,,
Paoli Hospital,Paoli,Pennsylvania,,,,,
Heritage Valley Sewickley,Sewickley,Pennsylvania,,,,,
Jefferson Hospital,Jefferson Hills,Pennsylvania,82,97,86,July 2011,June 2014
Cole Memorial,Coudersport,Pennsylvania,,,,,
Brandywine Hospital,Coatesville,Pennsylvania,,,,,
Memorial Hospital,York,Pennsylvania,,,,,
Mercy Fitzgerald Hospital,Darby,Pennsylvania,,,,,
Geisinger-Bloomsburg Hospital,Bloomsburg,Pennsylvania,,,,,
Delaware County Memorial Hospital,Drexel Hill,Pennsylvania,,,,,
Regional Hospital of Scranton,Scranton,Pennsylvania,,,,,
Einstein Medical Center Montgomery,East Norriton,Pennsylvania,,,,,
Troy Community Hospital,Troy,Pennsylvania,,,,,
Surgical Specialty Center at Coordinated Health,Allentown,Pennsylvania,,,,,
Robert Packer Hospital,Sayre,Pennsylvania,,,,,
Lehigh Valley Hospital-Muhlenberg,Bethlehem,Pennsylvania,48,98,90,July 2011,June 2014
Magee-Womens Hospital of UPMC,Pittsburgh,Pennsylvania,,,,,
Millcreek Community Hospital,Erie,Pennsylvania,,,,,
Lehigh Valley Hospital,Allentown,Pennsylvania,331,99,89,July 2011,June 2014
Lehigh Valley Hospital - Hazleton,Hazleton,Pennsylvania,,,,,
Wilkes-Barre General Hospital,Wilkes-Barre,Pennsylvania,29,97,88,July 2011,June 2014
Bucktail Medical Center,Renovo,Pennsylvania,,,,,
Lancaster General Health,Lancaster,Pennsylvania,146,98,88,July 2011,June 2014
Abington Memorial Hospital,Abington,Pennsylvania,,,,,
Lancaster Regional Medical Center,Lancaster,Pennsylvania,,,,,
Allegheny General Hospital,Pittsburgh,Pennsylvania,,,,,
Grand View Health,Sellersville,Pennsylvania,,,,,
Sacred Heart Hospital,Allentown,Pennsylvania,,,,,
UPMC Bedford Memorial,Everett,Pennsylvania,,,,,
Crozer-Chester Medical Center,Upland,Pennsylvania,22,97,87,July 2011,June 2014
Grove City Medical Center,Grove City,Pennsylvania,,,,,
Abington Health Lansdale Hospital,Lansdale,Pennsylvania,,,,,
Eastern Regional Medical Center,Philadelphia,Pennsylvania,,,,,
Endless Mountain Health Systems,Montrose,Pennsylvania,,,,,
Valley Forge Medical Center and Hospital,Norristown,Pennsylvania,,,,,
Muncy Valley Hospital,Muncy,Pennsylvania,,,,,
Tyler Memorial Hospital,Tunkhannock,Pennsylvania,,,,,
Excela Health Westmoreland Hospital,Greensburg,Pennsylvania,50,98,88,July 2011,June 2014
Jameson Hospital,New Castle,Pennsylvania,,,,,
Washington Hospital,Washington,Pennsylvania,,,,,
Pennsylvania Hospital,Philadelphia,Pennsylvania,,,,,
Hospital of the University of Pennsylvania,Philadelphia,Pennsylvania,,,,,
Clarion Hospital,Clarion,Pennsylvania,,,,,
Geisinger-Lewistown Hospital,Lewistown,Pennsylvania,,,,,
Guthrie Towanda Memorial Hospital,Towanda,Pennsylvania,,,,,
Punxsutawney Area Hospital,Punxsutawney,Pennsylvania,,,,,
Roxborough Memorial Hospital,Philadelphia,Pennsylvania,,,,,
Doylestown Hospital,Doylestown,Pennsylvania,,,,,
Palmerton Hospital,Palmerton,Pennsylvania,,,,,
Hahnemann University Hospital,Philadelphia,Pennsylvania,,,,,
Penn State Milton S. Hershey Medical Center,Hershey,Pennsylvania,,,,,
UPMC St. Margaret,Pittsburgh,Pennsylvania,,,,,
UPMC Northwest,Seneca,Pennsylvania,,,,,
ACMH Hospital,Kittanning,Pennsylvania,,,,,
Schuylkill Medical Center - South Jackson Street,Pottsville,Pennsylvania,,,,,
Excela Frick Hospital,Mount Pleasant,Pennsylvania,,,,,
Nazareth Hospital,Philadelphia,Pennsylvania,,,,,
North Philadelphia Health System,Philadelphia,Pennsylvania,,,,,
Bradford Regional Medical Center,Bradford,Pennsylvania,,,,,
Wayne Memorial Hospital,Honesdale,Pennsylvania,,,,,
Sunbury Community Hospital and Outpatient Center,Sunbury,Pennsylvania,,,,,
Sharon Regional Health System,Sharon,Pennsylvania,,,,,
Geisinger Wyoming Valley Medical Center,Wilkes Barre,Pennsylvania,96,98,84,July 2011,June 2014
Barnes-Kasson County Hospital,Susquehanna,Pennsylvania,,,,,
Heart of Lancaster Regional Medical Center,Lititz,Pennsylvania,,,,,
Meadville Medical Center,Meadville,Pennsylvania,,,,,
Tyrone Hospital,Tyrone,Pennsylvania,,,,,
Monongahela Valley Hospital,Monongahela,Pennsylvania,,,,,
Conemaugh Miners Medical Center,Hastings,Pennsylvania,,,,,
St. Joseph Regional Health Network,Reading,Pennsylvania,,,,,
Schuylkill Medical Center - East Norwegian Street,Pottsville,Pennsylvania,,,,,
Penn Medicine Chester County Hospital,West Chester,Pennsylvania,,,,,
Indiana Regional Medical Center,Indiana,Pennsylvania,,,,,
Holy Spirit - A Geisinger Affiliate,Camp Hill,Pennsylvania,,,,,
Geisinger Medical Center,Danville,Pennsylvania,320,98,84,July 2011,June 2014
UPMC Hamot,Erie,Pennsylvania,169,97,87,July 2011,June 2014
Lankenau Medical Center,Wynnewood,Pennsylvania,,,,,
Williamsport Regional Medical Center,Williamsport,Pennsylvania,,,,,
Eagleville Hospital,Eagleville,Pennsylvania,,,,,
Butler Health System,Butler,Pennsylvania,112,98,89,July 2011,June 2014
Jeanes Hospital,Philadelphia,Pennsylvania,,,,,
St. Clair Hospital,Pittsburgh,Pennsylvania,78,97,85,July 2011,June 2014
Evangelical Community Hospital,Lewisburg,Pennsylvania,,,,,
Berwick Hospital Center,Berwick,Pennsylvania,,,,,
Kane Community Hospital,Kane,Pennsylvania,,,,,
Uniontown Hospital,Uniontown,Pennsylvania,,,,,
Penn Highlands Clearfield,Clearfield,Pennsylvania,,,,,
West Penn Hospital,Pittsburgh,Pennsylvania,,,,,
Saint Vincent Health Center,Erie,Pennsylvania,88,98,85,July 2011,June 2014
Warren General Hospital,Warren,Pennsylvania,,,,,
Gnaden Huetten Memorial Hospital,Lehighton,Pennsylvania,,,,,
UPMC McKeesport,McKeesport,Pennsylvania,,,,,
OSS Orthopaedic Hospital,York,Pennsylvania,,,,,
Rothman Specialty Hospital,Bensalem,Pennsylvania,,,,,
Physicians Care Surgical Hospital,Royersford,Pennsylvania,,,,,
The Good Samaritan Hospital,Lebanon,Pennsylvania,,,,,
Mercy Suburban Hospital,Norristown,Pennsylvania,,,,,
Penn Presbyterian Medical Center,Philadelphia,Pennsylvania,,,,,
Titusville Area Hospital,Titusville,Pennsylvania,,,,,
Riddle Hospital,Media,Pennsylvania,,,,,
Mount Nittany Medical Center,State College,Pennsylvania,,,,,
UPMC Mercy,Pittsburgh,Pennsylvania,,,,,
Lock Haven Hospital,Lock Haven,Pennsylvania,,,,,
Washington Health System Greene,Waynesburg,Pennsylvania,,,,,
Hanover Hospital,Hanover,Pennsylvania,,,,,
UPMC Horizon,Greenville,Pennsylvania,,,,,
Pocono Medical Center,East Stroudsburg,Pennsylvania,,,,,
Conemaugh Meyersdale Medical Center,Meyersdale,Pennsylvania,,,,,
Gettysburg Hospital,Gettysburg,Pennsylvania,,,,,
Holy Redeemer Hospital,Meadowbrook,Pennsylvania,,,,,
Children's Hospital of Philadelphia,Philadelphia,Pennsylvania,,,,,
York Hospital,York,Pennsylvania,182,96,88,July 2011,June 2014
Forbes Regional Hospital,Monroeville,Pennsylvania,85,98,89,July 2011,June 2014
Edgewood Surgical Hospital,Transfer,Pennsylvania,,,,,
Jennersville Regional Hospital,West Grove,Pennsylvania,,,,,
Carlisle Regional Medical Center,Carlisle,Pennsylvania,,,,,
Moses Taylor Hospital,Scranton,Pennsylvania,,,,,
Thomas Jefferson University Hospitals,Philadelphia,Pennsylvania,,,,,
Highlands Hospital,Connellsville,Pennsylvania,,,,,
Bryn Mawr Hospital,Bryn Mawr,Pennsylvania,,,,,
J. C. Blair Memorial Hospital,Huntingdon,Pennsylvania,,,,,
Coordinated Health-Bethlehem,Bethlehem,Pennsylvania,,,,,
Allegheny Valley Hospital,Natrona Heights,Pennsylvania,,,,,
Penn Highlands Brookville,Brookville,Pennsylvania,,,,,
St. Luke's University Hospital - Bethlehem Campus,Bethlehem,Pennsylvania,99,98,88,July 2011,June 2014
Reading Hospital,West Reading,Pennsylvania,94,97,90,July 2011,June 2014
Pottstown Memorial Medical Center,Pottstown,Pennsylvania,,,,,
Einstein Medical Center Philadelphia,Philadelphia,Pennsylvania,,,,,
Canonsburg General Hospital,Canonsburg,Pennsylvania,,,,,
UPMC East,Monroeville,Pennsylvania,,,,,
Somerset Hospital,Somerset,Pennsylvania,,,,,
Surgical Institute of Reading,Wyomissing,Pennsylvania,,,,,
St. Luke's Hospital - Anderson Campus,Easton,Pennsylvania,,,,,
Ephrata Community Hospital,Ephrata,Pennsylvania,,,,,
UPMC Altoona,Altoona,Pennsylvania,,,,,
Fulton County Medical Center,Mc Connellsburg,Pennsylvania,,,,,
Jersey Shore Hospital,Jersey Shore,Pennsylvania,,,,,
UPMC Presbyterian Shadyside,Pittsburgh,Pennsylvania,,,,,
Waynesboro Hospital,Waynesboro,Pennsylvania,,,,,
Wooster Community Hospital,Wooster,Ohio,,,,,
Good Samaritan Hospital,Dayton,Ohio,83,98,91,July 2011,June 2014
West Chester Hospital,West Chester,Ohio,,,,,
OhioHealth Riverside Methodist Hospital,Columbus,Ohio,,,,,
ProMedica Bay Park Hospital,Oregon,Ohio,,,,,
TriHealth Evendale Hospital,Cincinnati,Ohio,,,,,
OhioHealth Marion General Hospital,Marion,Ohio,,,,,
Licking Memorial Hospital,Newark,Ohio,,,,,
Euclid Hospital,Euclid,Ohio,,,,,
University Hospitals Elyria Medical Center,Elyria,Ohio,,,,,
Firelands Regional Health System,Sandusky,Ohio,,,,,
Coshocton County Memorial Hospital,Coshocton,Ohio,,,,,
Marymount Hospital,Garfield Heights,Ohio,,,,,
Mary Rutan Hospital,Bellefontaine,Ohio,,,,,
University Hospitals Parma Medical Center,Parma,Ohio,,,,,
St. Elizabeth Boardman Health Center,Boardman,Ohio,,,,,
Soin Medical Center,Beavercreek,Ohio,,,,,
Akron General Medical Center,Akron,Ohio,,,,,
Diley Ridge Medical Center,Canal Winchester,Ohio,,,,,
Samaritan Regional Health System,Ashland,Ohio,,,,,
Selby General Hospital,Marietta,Ohio,,,,,
Salem Regional Medical Center,Salem,Ohio,,,,,
